Message,Priority,Tags
Connection keeps going in and out. Sometimes the bottom 3 lights will flash rapidly  but no connection. Stays off from 30 seconds to one hour  then  comes back on for a few mintues and does it again. ,1,Technical
switched to 25 Mbps and 25 Gigs data 1 Dec 2017  was good for a while but now I regularly get slower speeds than when I had 12Mbps. Now I see they don't even offer 25Mbps in my area but they keep charging me for it. rarely do I get even close to 12Mbps. Tech says they are testing a new satellite solution and it would be about a month  that was well over a month ago  getting worse. Hughes.net neighbors are getting better than 25Mbs sometimes. One more month and if they don't fix it I am checking with Hughes.net but switching is a pain.,1,Technical
Do you provide satellite coverage for the Bahamas and the Caribbean?,0,Service
what free antivirus is best,1,Inquiry
With yesterday's outage around 2am I called a little before 3am and spent four hours on hold. A little after 7am  the automated message changed to say that I had reached Viasat outside of customer service hours and that I would have to call back later. It redirected me to a survey (as if I had already talked to a customer service agent) and then hung up on me. So  did they actually change the hours so it is closed between certain hours? Or was that just a way to kick me off the line? ,0,Account
YOOO!!! @Stephen Rice MY DUDE!!! ITS TIME TO CELEBRATE NOW!!! AND ONLY FOR YOU ONLY!!! :D ONLY IF I HAD SOME BOOZE RIGHT NOW... I CAN LEGIT CELEBRATE IT FOR YA!!! :D BUT!!! ill celebrate for ya... on saturday!!! :3 IF ANYONE ELSE WANTS TO CELEBRATE FOR STEPHEN!!! THEN GO RIGHT AHEAD!!! :3 i wished i can now... BUT!!! i have to wait till saturday... to get some booze ;-; ONCE WHEN I DO!!! THEN!!! ILL BE CELEBRATING FOR MY DUDE THAT GOTS SOMETHING BACK ONTO THE VIASAT FORUMS!!! :D,1,Praise
I am going to download the entire internet tomorrow morning. Well  maybe not the entire internet but I plan to download all of the Wikipedia over time.  I figure it will be good to have a local copy of it for when the zombie apocolypse happens.,1,Account
Up and running again in Central Wisconsin. Thanks again VIASAT!﻿,0,Praise
So I've had wild blue then excede then liberty. Never a problem  always stable. Last month I upgraded to unlimited and the modem has been offline more then on going from bad to worse since the install. Today it's out for good. After three reboots and three calls to customer service (being told about weather over the gateway) the troubleshooting app tells me I have dish alignment  modem to dish comm  and modem error problems. So customer service tells me I have to pay $95 dollars to have my poor I stallion fixed? Is this the way long time customers get treated? I've never had problems before  so is this what I should expect in the future if I do?,1,Account
Appears to be a new Viasat initiative afoot...Bev. You might have to get a business account again. It might be a better deal! ,0,Account
Does Viasat have a 30 day trial period?,0,Account
Don't have internet connectivity 5 days after installation. I've been told it's a weather/Gateway problem. Murphy  NC,0,Service
Is there anyone who can help set up service in Central America? I live in a rural area of Panama with 2G (yes  it still exists) cell service. I have satellite service (iDirect on T11N) but it's expensive and slow compared to what Viasat 2 can offer. Who can I contact to set up service here? I can fly a technician down here if necessary..,1,Service
I work from home  in zip 28114 (rural NC.)  I had Exede a few years back and it worked fine. I moved to a city  and have now moved back and am once again dealing with internet woes.Back when I used Exede before  video conferencing was not required for my job.  Now...it is. I've been testing out a Verizon Jetpack - we're in a 4G area  and while the internet works well  screensharing through Webex  which worked fine before both through Exede and through a Verizon hotspot previously  now has considerable lag. Video conferencing works only if I am receiving video  but not sending my own video  and even straight audio calls  (VOIP) are not reliable.Satellite is my only other option  although AT&T says that we're on the schedule to run fiber  which would include my house  they just can't/won't tell me when. I don't believe that will be anytime soon  however. So my questions are:While I am NOT a fan of the new pricing or being stuck in a 2 year contract  this may be my only option. I just want to make sure it IS an option before I go down this road. What are other people experiencing using video conferencing and screen sharing?,0,Service
I have encountered my first issue. And it happens every single time without fail.If signal is lost to a storm  the modem successfully reconnects on its own  but WiFi refuses to send or receive data. The router is aware of and connected to all the WiFi devices  however nothing works. A reset of the modem is the only thing that gets WiFi devices to work again. I have become very dependent on the apps reboot function for when I’m away from home. I have not yet tried bridging the modem to my own router. Any ideas or suggestions?,1,Service
Here is my first speed test in North Central Florida at around 4:00pm EST on the 50mbps plan https://prnt.sc/jy76yj Great speeds and this beam Im on dont cover as much area as viasat1 beam did it covered part of south Georgia! But the tech told me the beam Im on now just covers north central FL! Sooo Hopefully it will be awhile before Im slowed down in the evening!,1,Praise
I'm only getting .3mbs download. This just started recently. I have the 150 G plan. WTF?,1,Account
I AM REALLY REALLY REALLY GETTING TIRED OF NOT BEING ABLE TO CHECK MY USAGE  I USE THE RIGHT USER NAME AND PASSWORD AND STILL CANNOT GET TO MY PAGE  NOT A HAPPY CAMPER,1,Account
Here is one example of a recent post on the Hughesnet forum.Customer satisfaction at Hughesnet seems to about the same as at Viasat.Conclusion: Satellite internet technology needs further competition before some of the public will be satisfied.,0,Service
Recently switched to exede's unlimited plan mainly cause it was cheaper than the 150 but I'm really not liking their router. So come to find out I'm pretty much limited to 4 devices!? Do these people not know that pretty much everything has WiFi now?! Only complaining cause I struggled all weekend with one device to connect to the internet/router. Any work arounds for using a different router? Super annoying to run around my house to turn off WiFi devices so I can do something else.,1,Technical
Why is my phone not working?,0,Service
On iOS there is an Apple app  Airport Utility that does a bang up job of it.Necessary to turn on wifi scan switch in the app Settings for the feature to work. Nice app and could be extra helpful for techs who really want to do best possible job meeting customers needs...,1,Service
It's been a while... work has been totally cray-cray  as the cool kids like to say.I'm having an issue where  after having made the switch to Google WiFi  remote access no longer works. We had been using an Apple Airport Extreme  but the GWiFi system gives us much better coverage and (what's best for the ViaSat system)  the GWiFi system gives us control over usage to the device level  along with usage reporting. Not only could Apple's router not do that  none of the mesh systems we researched could do it to the level which GWiFi could. So  we would really like to stick with GWiFi!Is there anyone who has had a similar issue - and how did you resolve it (or did you resolve it)? Help would be appreciated - and of course  I will report results (good or bad) back to the forum.,1,Service
I have been slow to complain  making sure that I have followed the Viasat protocol several times. All systems are good in my house but my speeds are extremely slow. It doesn’t matter when I’m using Visat it’s running at approximately- .4 .5 mbps. Yes that is point 4-5 so I’m typically running around 400-500 kbps. It has been this way from the beginning.,1,Service
Comcast: We've stopped throttling speeds for heavy internet users  for now,1,Service
Vissat to slow,0,Inquiry
I'm having a problem setting up my voice mail. It'll ring 6 times  then basically nothing. I have an answering machine that came with the phone as well. But I'd like for my voicemail to be set up. HELP!!,0,Account
Now that's what Unlimited Silver on VS1 should be delivering - whatever the engeneers have been up to lately  it seems to have helped here as compared to a month ago. Speeds right where they should be.,0,Praise
I can’t sign into my email. It keeps showing an error,0,Account
Concerning Caller ID: does Voice show you the name and number of a caller  or just the number?,0,Account
I cant wait to terminate this service. I'm so tired of troubleshooting slow Internet speeds  unplugging the modem  network congestion. At 11:00PM last night my upload/download speeds were .36M/.25M. Dial up would have been faster. This morning upload/download speed is .45M/12.5M. No reason. I have yet to get what I contracted with Viasat for any reasonable period of time.,1,Account
I've been looking around and can't find any current information on a dish compatible with Viasat for in motion use.  Anyone have experience using a Winegard dish or something similar to get in motion internet?,1,Inquiry
When I look for different plans available - I don't see any plans other the my current plan. Aren't there other plans available? I heard you were going to have an unlimited plan available soon that will be about the same amount per month that I am currently paying for 12 GB. Is that true? I don't watch movies  I will watch a video on you tube maybe 2 or 3 times a month - and use facebook and my GB allowance always is used up. Just hoping to find a plan that works better for me.,1,Account
Reference “Refund Ticket” number of 23652681. If someone from Exede can get their stuff together and figure out how to tell their system that we DID RETURN OUR EQUIPMENT then perhaps we can stop receiving collection agency letters. Next step is Better Business Bureau. If you mess up our credit rating  you will be taken to small claims court for fraudulent business practices and harassment  as well as unnecessarily damaging our credit!,0,Technical
BBC reported today that the German government has fined Volkswagen another billion euros for lying to the government. This is on top of the US governments huge penalties. I am not implying that Viasat lies. I am only implying that the consumer has to be skeptical and vigilant in this day and age. The norms of business have changed during the last 50 years.,0,DNR
Otherwise my speed is running 3-5 Mbps tonight but video is being throttled well below that. Is that shaper using an algorithm that reduces video connection speed by a percentage of the available speed? If it is  that explains it. Intentional  working as intended?,1,Service
Is the credit check performed for a new customer considered a soft or hard pull? In other words will the credit check show up as an inquiry on the credit reports?,0,Account
Is Viasat 2 ever going to make it to my location 39159,0,Inquiry
Zip code 87123 is in Albuquerque. Unlimited Bronze costs $70 (after the teaser period) and throttles after 40GB. 87027 is under 100 miles away (as the crow flies) and Unlimited Bronze costs $100/month after the teaser period and throttles after 35GB. Can anyone explain this to me? Given that you can get faster DSL and cable for less money in 87123  I can see why Viasat might try to attract the odd customer with the lower price  but why the difference in data limit?,0,Inquiry
We have had this exede viasat router/modem for about a year now but have always complained about the internet speed. My brother constantly have to go to my aunt house just to do school work because ours speed are so bad. I have a netgear nighthawk router i would like to use to help increase but im not sure how to set it up. Can someone help me? I have tried the bridge option but it seemed to make things worse for us. Need Help!,1,Inquiry
Fast vs all other speed test,0,Service
Your response closes by stating that the unanswered questions will have to be answered by Viasat’s engineers or by emailing you. Will you be communicating with the proper knowledgeable Viasat employees to seek answers to those questions that currently remain unanswered?,1,Inquiry
Dothe new unlimited plans named after metals still have a free zone?,0,Inquiry
I am interested in Viasat but I would like to know how bad the internet congestion is after passing the priority data. Also after passing the priority data  is it slow all the time or just on prime time?,1,Service
"For more than a week  my Viasat service has been off as much as it's been on. I can't download an on demand show because ""download failed"". Trying to stream a show is a joke. I'm paying over a hundred dollars a month for fast internet service and I am not getting it. If you don't get this straightened out  I will be trying a different service. This is ridiculous.",1,Service
"I was wondering if anyone who is still on the old WildBlue service still gets emails saying they've went over their usage? I got one Nov. 5  2017 and it should have been returned to full speed around the middle of December  but it did not  and I did not get the normal ""your speeds have been restored"" email.",1,Service
Horrible Service! I don't recommend this interenet provider!  I was misled into thinking i'd get good service at a cheaper rate.  I was paying $70.00 a month for AT&T Uverse.  DirecTV in conjuntion with Exede told me i'd get it for $29.99.  My monthly bill from Exede is about $62.00  I also have no speed after about 10 days.  If i want more I have to buy! LOL  Uverse I never had to worry.  Beware!,1,Service
Why am I getting billed for this moth if my service is suspended? Hell I'm through with Exede  I'm up to 60 - 70 Gigs for this month and loving it. Fix my bill and tell me where to send this crap back to. I've been off contract for years. Getting speeds generally 5x - 10x faster than Exede and unlimited data so I'm done. I might have to pay a small VPN fee every month but I'm done stop billing me for nothing  Hell the modem has been completely disconnected this month  don't need it any more.,1,Account
What I'm tried of is paying this high price for internet and always worried about data all time when you want to watch Netflix or vudu. This is bs when I had cable internet didn't have to worry about data. If they want happy customer they need to fix this problem. Cell phone company have better data rates than excede. Maybe I will look into to dishnet because I have dishnetwork. You suck,1,Service
There is no additional charge for going over our 10GB limit correct? I was told that once over your limit that the speeds are greatly reduced but no additional charge - Someone please verify this for me.,0,Inquiry
"When I contacted a local dealer I had planned on going with the 10 GB package. Before installation I decided to do the 12GB with the three month promotion of $20 off for three months. The dealer told me I'd have to contact customer service. CS told me that the promotion would be honored  but I would have to call back after installation. After install I called back and was told the promotion would be honored or I'd get a $20 credit for the next three months. I got my first statement today and it was full price. I called CS and was ""disconnected"". I called back and was told that I could not get the promotion because that had to be set up from the start with the dealer. After going back and forth  the rep then said the account notes showed a one time $20 credit but it wouldn't show up until my next statement. I then asked to speak to a supervisor and was given a complete runaround. The rep tried to interrupt and over speak me. She finally figured out I wasn't giving up and told me I would get a $20 credit on three statements  and to call back if it didn't show up. I made sure to get her name and read back to her exactly what she told me.",1,Technical
"Happy with EXEDE. I guess I am the lucky one but living in the jungle is hard enough  time to be happy and enjoy = live Aloha and who knows you might meet some body ""at Exede"" who helps you and I did got lucky dealing with some Exedetional workers  who did help me. Or maybe they just felt sorry for me. Mahalo Kimberly  the other lady Ka...something and my personal Champion Lindsey. Great work  I know you love your job and you are great at it.",0,Praise
1 855 numbers do not work from Canada so I am unable to speak with anyone at Exede! I'd appreciate if a customer service rep would contact me or please give me another phone number to dial in. Thank you!,0,Account
Trouble with refund,1,Account
I am fine with streaming and other web services being blocked if I overstep my 5GB limit.  What I am not fine with is my email access being cut off despite the published promise that it will not if I exceed my data cap  which with 5GB can be done with a metaphorical sneeze on the internet these days.,1,Account
Problems with billing,1,Account
i have been with Excede less than a month. very dissatisfied! according to the data I used )25gb in 1 day! really the cap is a scam I feel ripped off and plan on spreading the word!,1,Service
"Today the flowers are on its way to Englewood. Hope you all like them. And please don't forget about me. It gets lonely in the jungle and I love to be able to check on my friends out there in the whole wide world. Tell the social media escalations ""director"" I say Aloha. Your friend from the island.",0,Praise
I knew I would have issues with data when I signed up.  For the past 8 years I had been on cellular and had used an average of 35G a month  even with their slow-assed speed.  This is my first full month of Exede Service (Liberty 12) and even though I went over my data limit in two days  speed and connectivity have remained relatively unchanged.  I'm getting close to 20G/4G speed  even during prime time  binge-watching netflix. ,0,Praise
i want to know if exede company want to give broadband services for Pakistan and Afghanistan  what would be the package plan for unlimiteded,1,Service
Pingtest FAIL,1,Service
I don't even know what to do anymore! I have spoke to exede resolution team  etc. I work from home and my children's school is high tech so all of their work is down over the computer. I have explained this over and over to exede but nothing is done. Now because of having to buy more I owe $360 and yet people with cable and dsl pay $30-$50 for unlimited. If it's a problem with a bigger satellite than they can put the biggest one on my land if it gave me more data. Maybe congress needs to step in on this problem.,1,Account
Sometimes living in the jungle of Maui has its good sides  like 99%. Got back onto the freedom plan and SOO super happy. Sending Aloha and Tropicals to Exede. Much Mahalo to all Who helped. Especially Lindsey who showed me Aloha from the Mainland. Felt like crap was down and out  moved myself out of my EX. into a new (old) place. No nothing  had to go down to the stream to flush (you know what). Now water catch is hooked up (half ass) I am remodel this old house. So no lady  small fridge  rain every day 2>4 inches. No internet  feeling lonely and no laughter  kids are gone but then I got a call and 3.5 weeks later  I am back. Well  its that good old up and down game in live. Cant give up.,0,Praise
"I signed up with Exede as part of a DirecTV package. Unfortunately DirecTV knows very little about what they're signing you up for. Exede caps your internet  meaning once you use up a certain amount of data  it slows down to dial-up speeds. You also have to use their own ""special"" satellite modem  and boy is it special. My internet dropped twice in the first half-an-hour of service. DirecTV also guaranteed I would have 30 days to cancel if I wasn't happy with the service. Well that was wrong too. Exede doesn't let you cancel  for any reason  without a cancellation fee of over $300. How can a service company not have some kind of trial period? They are a disgraceful company and I was flat-out lied to about what I was getting and what I received. Thankfully I used a credit card company who protects me from frauds like Exede. You will be sorry if you use them.",1,Account
The last thing you should do when shutting down your computer is check your data usage  and the first thing would be to check again when starting up.  Changed?  It shouldn't  but if it did  alert Exede and seek assistance.  If they give you the 'run-around' ask what your IP number was during the down time  (you didn't have one)  that settles an argument quickly.,1,Account
modem question my friend next door has 2 out of 4 lights going on his modem   is that some kind of blocking or low on the usage? The care takerdude is cutting down more and more avocado trees and thinks it might be     the tree who are blocking the reception and I think they low on the usage. Do you know and could tell me. Mahalo from the eastside of Maui and Aloha to all of you.,1,Inquiry
my phone service is not working,1,Service
This Excede has become a never ending issue of slow to almost no service at all. I would not recomend this service to even my worst enemy. I am so feed up  looking for another service provider as soon as I can.,1,Service
how can I get my messages from my home phone from another phone,1,Service
Is Exede still doing the Great Gigbyte Give away? Where you could get 5 gigs free. Haven't heard anything about it lately.,1,Service
We have turned off all of the automatic window updates  the autoplay of videos on facebook etc.  We don't download or stream movies or music nor do we play online games.  Its just web browsing and facebook.   Help,1,Service
I am a new Exede customer. I use the Chrome browser on my laptop. The Chrome 'content' setting allows me to not allow images. If I am surfing news sites where I do not care about pictures will this save me data?,1,Account
I could not upload anything to my web site today  i wanted to make a minor change but my FTP program kept getting rejected by the server as invalid. It was determined by the server that my problem was with the ISP Exede. I know they slow you down when you have used up the data allowance but I did not know they determined what you can upload and what you can't. This doesn't seem legal to me when they still allow downloads they control what a person uploads. I called Exede and they gave me another 5 Gb and I was able to upload again. When I upload it is very little data  and goes quickly. I wish I was made aware of this selective practice when I signed up  I probably would have made a different decision.,1,Account
One small problem I have is how to change my password,1,Account
I just checked my usage and is 500 mb with more than 6 hours remaining in the day. I would like to hear from others about their experience concerning Viasat's accuracy  methods  and truthfulness in their calculating of data.,0,Inquiry
Does anyone have a recommendation for a VPN service that works effectively with Viasat?,1,Technical
Just completed a trip on JetBlue. As most now know  Exede by ViaSat is provided free to all passengers. The service was great  so just wondering what makes the service so different from what we have at home.,0,Inquiry
I work in New Jersey and love installing Viasat for all of my customers. I did direcTV for 2 years before working for Vsat. Anyone got questions or anything regarding installation procedures feel free to post here :),0,Technical
Not what I signed up for,0,DNR
What ports are blocked on the tier 2 unlimted plan? Have not even got it installed installed is coming wensday  i was just wondering!,1,Technical
My satellite dish is currently installed on my roof. I am having a new roof put on my house in a couple of weeks. The dish will have to be removed to complete that process. How can I get the dish relocated off the roof and on to a post in the yard?,1,Technical
VS2 was just installed today  I have been using it for about an hour now. Working great so far  downloading and general usage has been a lot better and a lot faster compared to VS1. I'm on the unlimited Gold 30 plan but I'm actually getting much better speeds than advertised.Which is about 4.5 - 5 MB/s for download.Question about the old equipment though. I know I have to send the old modem and a part from the old satellite back. Does anyone know about how long it takes usually for the boxes to ship / arrive and will Viasat send them automatically now that my new service is set up? I would like to have a rough idea so I can be sure to contract someone if I don't see them  don't want to be charged for something that I have no issue with sending back.Assuming speed doesn't take a nose dive later on  good job to Viasat. Lol.,1,Technical
So yesterday  I decided to give my computer a rest and concentrate on other things  like chores on the property.I set up the download scheduler to download some items during the LNFZ  giving plenty of buffer time between the start and stop times.One way for Viasat to increase revenue without raising monthly fees is to tamper with the data usage calculation.If true  this would be more smoke and mirror tactics  just like implying an expected  download speed of 12 mbps when its actual occurrence is miniscule or stating (not implying)  that we should expect download speeds in excess of 1 mbps after reaching our monthly allowance.I have traveled all over the world. I found these smoke and mirror tactics in third world bazaars. I did not expect to find them in the US from large corporations.﻿,0,DNR
im having $5 in my card but agent said our portal shows you have insufficient credit in your card how much exede charge me as in front payment?,1,Account
When is viasat 2 going to be up and running at full capacity? I'm tired of dealing with less than 5 mb/s at ALL times I'm home. Even over night.,0,Inquiry
Would we have to buy a new phone if we use your service?,0,Inquiry
Running out of Data of the unlimited 12 what happened is my internet going to be still fast or slow,0,Account
We keep losing internet . Comes and goes constantly and so we get booted off! Very irritating! Can't get anything done,1,Technical
i ordered over phone women said one thing but that was not the case this service is slower then dial up modems of years ago,0,DNR
On windy days  I lose internet connectivity. Is my dish installed properly?,1,Technical
Hey  would you please throttle me up? I did a speed test yesterday and had 10 Mbps and this morning only 6 Mbps. I'm paying for 25 Boost. And I'm trying to test a video application because I'm an Internet marketer. The application is failing because you can't stream video over 6-10 Mbps. Come on now. I need to launch this marketing campaign 2 days ago.,1,Account
Well.... I never thought I would say Viasat Internet would be slower than dial-up  but tonight I have hit a new all-time low.... Download :: 24 kbps,0,DNR
I cant keep paying more and more  was going to move to viasat but bronze plan is now 70 going up to 100 with lease so 120 a month? Thats crazy  my hughesnet contract is up finally and suddenly viasat prices are way up. What happened to bronze being 50 a month then up to 70 a month for the contract. the satellite doesn’t care where I live. Its too expensive.,0,Account
I was told when I called I could get unlimited data then when it was installed I was told it would be about 4 weeks that was 2 months ago,1,Account
We have a Harley motorcycle gathering this weekend in our local village and there's a ViaSat tent there.   I walked by it twice  and each time there were at least three people checking it out. I almost checked it out myself  with the idea of playing completely ignorant of satellite internet just to see what the guy said  but I decided not to.  It looked like a lot of people were interested  though.,0,DNR
My phone has no dial tone,1,Technical
I am on the border of beam 328 with beam 329. I think I am on beam 329.1. How can I confirm my beam?2. Can I switch beams to see if it is less congested?,1,Technical
How long does it take before I can setup my app on my phone and computer to access my account and control it? It doesn't recognize me.,1,Account
Is Unlimited still coming January? I was told it was and that is the only reason I joined this company.,1,Technical
Have had no internet for a day now in central Oklahoma.. anyone else..?,1,Service
A Good Time on Beam 329,0,Inquiry
"I was thinking of going with the ViaSat unlimited Silver 25 but could not find out what beam I would be on for Centerburg OH ( 40.3045:N  82.6963"" W) and if it is already congested.I've been debating about dropping or very slow low quality DSL.  But with all the problems I am seeing about data usage extremely slow speeds maybe my DSL speed of 1 meg down/256 K upload and constant network drops don't look so bad.",0,DNR
"The FBI has issued a dire warning to everyone who has a router in their home. The Internet Crime Complaint Center sent a rare Public Service Announcement declaring: ""Foreign cyber actors have compromised hundreds of thousands of home and office routers and other networked devices worldwide.""",0,DNR
These speeds are getting to be ridiculous. Sick of calling tech support. Didn't know I was on the 1Mbps plan.,0,DNR
Can We Make Lemonade Out of Lemons?,1,Inquiry
